time_ms	cdf_baseline	cdf_jesspro
1154.000000	0.941214	0.944239
1155.000000	0.941251	0.944314
1156.000000	0.941251	0.944426
1157.000000	0.941289	0.944500
1158.000000	0.941326	0.944500
1159.000000	0.941363	0.944575
1160.000000	0.941401	0.944575
1163.000000	0.941475	0.944613
1164.000000	0.941475	0.944650
1165.000000	0.941513	0.944687
1166.000000	0.941550	0.944687
1167.000000	0.941550	0.944725
1168.000000	0.941587	0.944762
1170.000000	0.941662	0.944762
1171.000000	0.941811	0.944799
1172.000000	0.941886	0.944799
1173.000000	0.941886	0.944837
1174.000000	0.941886	0.944949
1175.000000	0.941923	0.944949
1176.000000	0.941998	0.944949
1178.000000	0.942073	0.944949
1179.000000	0.942110	0.944986
1180.000000	0.942148	0.944986
1181.000000	0.942148	0.945061
1182.000000	0.942148	0.945135
1183.000000	0.942185	0.945173
1184.000000	0.942222	0.945173
1185.000000	0.942260	0.945210
1186.000000	0.942297	0.945247
1187.000000	0.942297	0.945285
1188.000000	0.942372	0.945285
1189.000000	0.942372	0.945322
1190.000000	0.942372	0.945359
1191.000000	0.942409	0.945434
1192.000000	0.942446	0.945434
1193.000000	0.942558	0.945509
1194.000000	0.942596	0.945546
1195.000000	0.942633	0.945546
1196.000000	0.942633	0.945584
1197.000000	0.942633	0.945621
1198.000000	0.942670	0.945658
1199.000000	0.942708	0.945658
1200.000000	0.942708	0.945696
1202.000000	0.942857	0.945770
1203.000000	0.942932	0.945845
1205.000000	0.942932	0.945882
1207.000000	0.942969	0.945957
1208.000000	0.943007	0.946032
1209.000000	0.943044	0.946106
1210.000000	0.943193	0.946144
1211.000000	0.943268	0.946144
1212.000000	0.943268	0.946181
1213.000000	0.943305	0.946181
1214.000000	0.943343	0.946218
1215.000000	0.943380	0.946293
1216.000000	0.943417	0.946368
1217.000000	0.943455	0.946368
1218.000000	0.943455	0.946405
1220.000000	0.943455	0.946443
1221.000000	0.943529	0.946517
1222.000000	0.943567	0.946517
1223.000000	0.943604	0.946517
1224.000000	0.943604	0.946555
1225.000000	0.943679	0.946592
1226.000000	0.943754	0.946592
1229.000000	0.943828	0.946592
1230.000000	0.943828	0.946629
1231.000000	0.943866	0.946629
1233.000000	0.943940	0.946704
1234.000000	0.943978	0.946779
1235.000000	0.944015	0.946779
1236.000000	0.944015	0.946816
1237.000000	0.944090	0.946928
1238.000000	0.944127	0.946928
1240.000000	0.944127	0.947003
1241.000000	0.944202	0.947003
1242.000000	0.944239	0.947040
1243.000000	0.944276	0.947115
1245.000000	0.944276	0.947264
1246.000000	0.944351	0.947264
1247.000000	0.944388	0.947302
1248.000000	0.944463	0.947339
1249.000000	0.944500	0.947376
1250.000000	0.944500	0.947414
1251.000000	0.944500	0.947451
1252.000000	0.944575	0.947526
1253.000000	0.944613	0.947526
1254.000000	0.944613	0.947563
1255.000000	0.944613	0.947600
1256.000000	0.944613	0.947638
1257.000000	0.944613	0.947675
1258.000000	0.944687	0.947675
1260.000000	0.944687	0.947787
1262.000000	0.944799	0.947787
1263.000000	0.944874	0.947787
1264.000000	0.944911	0.947862
1265.000000	0.944949	0.947899
1267.000000	0.944986	0.947974
1268.000000	0.945098	0.947974
1269.000000	0.945135	0.948011
1270.000000	0.945173	0.948011
1271.000000	0.945210	0.948011
1272.000000	0.945247	0.948049
1273.000000	0.945285	0.948049
1275.000000	0.945285	0.948123
1277.000000	0.945397	0.948161
1278.000000	0.945397	0.948235
1279.000000	0.945472	0.948273
1280.000000	0.945509	0.948273
1282.000000	0.945509	0.948310
1283.000000	0.945546	0.948310
1286.000000	0.945584	0.948385
1288.000000	0.945621	0.948422
1289.000000	0.945658	0.948422
1290.000000	0.945696	0.948422
1291.000000	0.945696	0.948459
1292.000000	0.945733	0.948497
1293.000000	0.945808	0.948534
1294.000000	0.945808	0.948571
1297.000000	0.945845	0.948571
1298.000000	0.945882	0.948571
1299.000000	0.946032	0.948571
1300.000000	0.946069	0.948571
1301.000000	0.946144	0.948609
1302.000000	0.946144	0.948683
1303.000000	0.946181	0.948721
1306.000000	0.946256	0.948721
1307.000000	0.946293	0.948721
1308.000000	0.946331	0.948758
1309.000000	0.946331	0.948796
1310.000000	0.946331	0.948833
1311.000000	0.946368	0.948908
1313.000000	0.946405	0.948982
1316.000000	0.946405	0.949020
1317.000000	0.946480	0.949057
1318.000000	0.946480	0.949132
1319.000000	0.946592	0.949132
1320.000000	0.946592	0.949206
1321.000000	0.946629	0.949206
1322.000000	0.946667	0.949281
1323.000000	0.946741	0.949281
1324.000000	0.946741	0.949356
1325.000000	0.946779	0.949356
1326.000000	0.946853	0.949356
1327.000000	0.946891	0.949430
1328.000000	0.946965	0.949430
1329.000000	0.947003	0.949430
1330.000000	0.947077	0.949430
1331.000000	0.947115	0.949430
1333.000000	0.947115	0.949542
1334.000000	0.947152	0.949542
1335.000000	0.947190	0.949542
1336.000000	0.947264	0.949617
1338.000000	0.947339	0.949617
1339.000000	0.947376	0.949617
1340.000000	0.947414	0.949617
1342.000000	0.947451	0.949692
1344.000000	0.947488	0.949692
1346.000000	0.947563	0.949804
1347.000000	0.947638	0.949804
1348.000000	0.947675	0.949804
1349.000000	0.947712	0.949804
1350.000000	0.947712	0.949841
1352.000000	0.947712	0.949879
1353.000000	0.947787	0.949879
1354.000000	0.947787	0.949916
1355.000000	0.947787	0.949991
1356.000000	0.947787	0.950028
1357.000000	0.947824	0.950028
1359.000000	0.947862	0.950028
1360.000000	0.947899	0.950065
1362.000000	0.947899	0.950140
1364.000000	0.947937	0.950252
1365.000000	0.947974	0.950252
1367.000000	0.947974	0.950289
1369.000000	0.948049	0.950289
1370.000000	0.948049	0.950327
1373.000000	0.948086	0.950327
1376.000000	0.948086	0.950364
1377.000000	0.948086	0.950401
1379.000000	0.948123	0.950439
1381.000000	0.948161	0.950476
1382.000000	0.948198	0.950514
1383.000000	0.948198	0.950551
1384.000000	0.948235	0.950551
1385.000000	0.948310	0.950551
1389.000000	0.948385	0.950551
1391.000000	0.948385	0.950588
1393.000000	0.948422	0.950626
1394.000000	0.948459	0.950626
1396.000000	0.948571	0.950663
1397.000000	0.948609	0.950663
1398.000000	0.948646	0.950700
1399.000000	0.948683	0.950700
1400.000000	0.948721	0.950700
1401.000000	0.948721	0.950738
1403.000000	0.948721	0.950812
1404.000000	0.948870	0.950924
1405.000000	0.948870	0.950962
1406.000000	0.948908	0.950962
1407.000000	0.948908	0.950999
1408.000000	0.948945	0.950999
1410.000000	0.948945	0.951074
1412.000000	0.949020	0.951074
1414.000000	0.949020	0.951111
1415.000000	0.949020	0.951148
1416.000000	0.949094	0.951186
1417.000000	0.949132	0.951186
1418.000000	0.949169	0.951223
1419.000000	0.949169	0.951298
1420.000000	0.949206	0.951335
1421.000000	0.949206	0.951373
1422.000000	0.949244	0.951410
1423.000000	0.949244	0.951447
1424.000000	0.949244	0.951485
1425.000000	0.949281	0.951485
1426.000000	0.949281	0.951522
1427.000000	0.949356	0.951559
1428.000000	0.949393	0.951559
1430.000000	0.949468	0.951559
1431.000000	0.949542	0.951634
1432.000000	0.949580	0.951634
1433.000000	0.949617	0.951709
1434.000000	0.949655	0.951709
1435.000000	0.949692	0.951746
1436.000000	0.949729	0.951783
1437.000000	0.949729	0.951821
1438.000000	0.949767	0.951821
1440.000000	0.949804	0.951821
